"{0.04574034239220854, 0.039921106875410395}","{1.054843926059998, 0.019905549327996864}"
"{0.04574034239220854, 0.039921106875410395}","{0.6197599628998505, 1.0066889266892916}"
"{1.054843926059998, 0.019905549327996864}","{2.1305606589977995, 0.1428563270706304}"
"{1.054843926059998, 0.019905549327996864}","{1.6128645221138327, 0.818109837339119}"
"{1.054843926059998, 0.019905549327996864}","{0.6197599628998505, 1.0066889266892916}"
"{2.1305606589977995, 0.1428563270706304}","{2.921535508447257, 0.04126868873707248}"
"{2.1305606589977995, 0.1428563270706304}","{2.4347255336130127, 0.8049685303496535}"
"{2.1305606589977995, 0.1428563270706304}","{1.6128645221138327, 0.818109837339119}"
"{2.921535508447257, 0.04126868873707248}","{3.880329514126087, 0.04365740814658809}"
"{2.921535508447257, 0.04126868873707248}","{3.5587858054931294, 0.8702564127001804}"
"{2.921535508447257, 0.04126868873707248}","{2.4347255336130127, 0.8049685303496535}"
"{3.880329514126087, 0.04365740814658809}","{4.8978566677430475, 0.0941363553827804}"
"{3.880329514126087, 0.04365740814658809}","{4.584340185427999, 0.8371042021098554}"
"{3.880329514126087, 0.04365740814658809}","{3.5587858054931294, 0.8702564127001804}"
"{4.8978566677430475, 0.0941363553827804}","{6.121435641135433, 0.04221373723410166}"
"{4.8978566677430475, 0.0941363553827804}","{5.465545735035472, 0.8299636498149663}"
"{4.8978566677430475, 0.0941363553827804}","{4.584340185427999, 0.8371042021098554}"
"{6.121435641135433, 0.04221373723410166}","{6.94196191825351, 0.07685927933532452}"
"{6.121435641135433, 0.04221373723410166}","{6.479813747843501, 0.7531032685417332}"
"{6.121435641135433, 0.04221373723410166}","{5.465545735035472, 0.8299636498149663}"
"{6.94196191825351, 0.07685927933532452}","{8.113006513326198, -0.14426147980845241}"
"{6.94196191825351, 0.07685927933532452}","{7.557609040482707, 0.9983821169831624}"
"{6.94196191825351, 0.07685927933532452}","{6.479813747843501, 0.7531032685417332}"
"{8.113006513326198, -0.14426147980845241}","{9.012785004386812, -0.044288738217179026}"
"{8.113006513326198, -0.14426147980845241}","{8.37722266501847, 0.9609462162470929}"
"{8.113006513326198, -0.14426147980845241}","{7.557609040482707, 0.9983821169831624}"
"{9.012785004386812, -0.044288738217179026}","{9.637018465485609, 0.907995448155925}"
"{9.012785004386812, -0.044288738217179026}","{8.37722266501847, 0.9609462162470929}"
"{0.6197599628998505, 1.0066889266892916}","{1.6128645221138327, 0.818109837339119}"
"{0.6197599628998505, 1.0066889266892916}","{0.13713899837011445, 1.772663702245991}"
